Person,Number of Files Requested,Page Number
"Grumbine, Megan G Federal Retirement Thrift Investment Board, DAEO",4,18
"Grundmann, Susan T Federal Labor Relations Authority, Member",12,18
"Gupta, Geeta Department Of State, Ambassador at Large for Women's Global Issues",3,18
"Gupta, Neeaj Consumer Financial Protection Bureau, Certificate of Divestiture",1,18
"Gupta, Neha Department Of Health And Human Services, Certificate of Divestiture",1,18
"Gupta, Rahul Office Of National Drug Control Policy, Director",1,18
"Gupta, Vanita Department Of Justice, Associate Attorney General",7,18
"Hadjiyane, Paul Department Of Defense - Office Of Inspector General, DAEO",33,18
"Hahn, Julia A White House Office, Deputy Communications Director",2,19
"Hahn, Stephen M Department Of Health And Human Services, Commissioner, Food & Drug Administration",2,19
"Hale, David M Department Of State, Ambassador to Pakistan (Islamic Republic of)",1,19
"Hale, David M Department Of State, Under Secretary for Political Affairs",2,19
"Hallett, Stephanie L Department Of State, Ambassador to Bahrain (Kingdom of)",4,19
"Handberg, Roger B Department Of Justice, U.S. Attorney Florida Middle District",10,19
"Hansell, Bradley Department Of Defense/Office Of The Secretary, Under Secretary for Intelligence & Security",2,19
"Hanson, Catherine Environmental Protection Agency, Chief Financial Officer",1,19
"Hanson, Christopher T Nuclear Regulatory Commission, Commissioner",12,19
"Hanson, Christopher T Nuclear Regulatory Commission, Commissioner 2",6,19
"Harper, Todd M National Credit Union Administration, Member, National Credit Union Administration Board",13,19
"Harper, Todd M National Credit Union Administration, Member, National Credit Union Administration Board 2",8,19
"Harpootlian, Jamie Department Of State, Ambassador to Slovenia (Republic of)",25,19
"Harris, Benjamin Department Of The Treasury, Assistant Secretary for Economic Policy",3,19
"Harris, Cathy A Merit Systems Protection Board, Member",2,19
"Harris, Cathy A Merit Systems Protection Board, Member & Chairman",2,19
"Harris, Grant Department Of Commerce, Assistant Secretary for Industry & Analysis",4,19
"Harris, Gregory Department Of Justice, U.S. Attorney Illinois Central District",6,19
"Harris, Harry Department Of State, Ambassador to Korea (Republic of)",3,19
"Harris, Joshua M Department Of State, Ambassador to Algeria (Democratic & Popular Republic of)",1,19
"Harris, Kamala D Candidates - F.E.C., Presidential Candidate",1,19
"Harris, Kamala D Candidates - F.E.C., Vice Presidential Candidate",1,19
